iter	Passed	Remaining
902	23713	2547
903	23743	2521
904	23767	2494
905	23798	2469
906	23821	2442
907	23845	2416
908	23867	2389
909	23894	2363
910	23920	2336
911	23943	2310
912	23968	2283
913	24003	2258
914	24022	2231
915	24044	2204
916	24082	2179
917	24128	2155
918	24194	2132
919	24246	2108
920	24346	2088
921	24384	2062
922	24414	2036
923	24437	2009
924	24458	1983
925	24479	1956
926	24499	1929
927	24519	1902
928	24537	1875
929	24557	1848
930	24581	1821
931	24601	1794
932	24621	1768
933	24641	1741
934	24664	1714
935	24689	1688
936	24727	1662
937	24763	1636
938	24807	1611
939	24830	1584
940	24853	1558
941	24875	1531
942	24900	1505
943	24922	1478
944	24944	1451
945	24967	1425
946	24991	1398
947	25012	1371
948	25031	1345
949	25054	1318
950	25074	1291
951	25098	1265
952	25122	1239
953	25143	1212
954	25164	1185
955	25187	1159
956	25214	1132
957	25234	1106
958	25256	1079
959	25280	1053
960	25303	1026
961	25329	1000
962	25352	974
963	25378	947
964	25400	921
965	25434	895
966	25459	868
967	25481	842
968	25509	816
969	25531	789
970	25555	763
971	25574	736
972	25605	710
973	25629	684
974	25651	657
975	25671	631
976	25695	604
977	25713	578
978	25736	552
979	25755	525
980	25780	499
981	25799	472
982	25816	446
983	25835	420
984	25856	393
985	25875	367
986	25894	341
987	25912	314
988	25931	288
989	25950	262
990	25975	235
991	26000	209
992	26038	183
993	26077	157
994	26101	131
995	26120	104
996	26152	78
997	26177	52
998	26208	26
999	26254	0
